2016-06-03 01:21:00 INFO  TaskContextListener:33 - Starting web application...
2016-06-03 01:21:01 DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2016-06-03 01:21:01 DEBUG ClassLoaderServiceImpl:124 - Incoming config yielded no classloaders; adding standard SE ones
2016-06-03 01:21:01 DEBUG HibernatePersistenceProvider:87 - Located and parsed 1 persistence units; checking each
2016-06-03 01:21:01 DEBUG HibernatePersistenceProvider:95 - Checking persistence-unit [name=JpaModule, explicit-provider=org.hibernate.ejb.HibernatePersistence] against incoming persistence unit name [JpaModule]
2016-06-03 01:21:01 DEBUG ProviderChecker:89 - Persistence-unit [JpaModule] requested PersistenceProvider [org.hibernate.ejb.HibernatePersistence]
2016-06-03 01:21:01 DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: JpaModule
	persistence provider classname: org.hibernate.ejb.HibernatePersistence
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/vagrant/client/target/client/WEB-INF/lib/server-1.0-SNAPSHOT.jar
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		pl.agh.tons.project.model.Address
		pl.agh.tons.project.model.Author
		pl.agh.tons.project.model.Book
		pl.agh.tons.project.model.Category
		pl.agh.tons.project.model.Copy
		pl.agh.tons.project.model.Feedback
		pl.agh.tons.project.model.Fine
		pl.agh.tons.project.model.Loan
		pl.agh.tons.project.model.Reservation
		pl.agh.tons.project.model.User]
	Mapping files names []
	Properties [
		javax.persistence.jdbc.driver: com.mysql.jdbc.Driver
		javax.persistence.jdbc.password: test
		hibernate.dialect: org.hibernate.dialect.MySQL5InnoDBDialect
		javax.persistence.jdbc.url: jdbc:mysql://localhost/onlinelibrary
		hibernate.show_sql: true
		javax.persistence.jdbc.user: root]
2016-06-03 01:21:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2016-06-03 01:21:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2016-06-03 01:21:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2016-06-03 01:21:02 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.jpa.event.spi.JpaIntegrator].
2016-06-03 01:21:02 INFO  Version:37 - HHH000412: Hibernate Core {5.1.0.Final}
2016-06-03 01:21:02 INFO  Environment:213 - HHH000206: hibernate.properties not found
2016-06-03 01:21:02 INFO  Environment:317 - HHH000021: Bytecode provider name : javassist
2016-06-03 01:21:03 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2016-06-03 01:21:03 DEBUG RegionFactoryInitiator:88 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2016-06-03 01:21:04 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration boolean -> org.hibernate.type.BooleanType@7a912232
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration boolean -> org.hibernate.type.BooleanType@7a912232
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7a912232
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@41c986df
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4da63a01
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration yes_no -> org.hibernate.type.YesNoType@4048affb
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration byte -> org.hibernate.type.ByteType@3a1f78e6
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration byte -> org.hibernate.type.ByteType@3a1f78e6
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3a1f78e6
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration character -> org.hibernate.type.CharacterType@7c07a0c
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration char -> org.hibernate.type.CharacterType@7c07a0c
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7c07a0c
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration short -> org.hibernate.type.ShortType@2ae58f93
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration short -> org.hibernate.type.ShortType@2ae58f93
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2ae58f93
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration integer -> org.hibernate.type.IntegerType@77bb6583
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration int -> org.hibernate.type.IntegerType@77bb6583
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@77bb6583
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration long -> org.hibernate.type.LongType@45ccba09
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration long -> org.hibernate.type.LongType@45ccba09
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@45ccba09
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration float -> org.hibernate.type.FloatType@4f61fd51
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration float -> org.hibernate.type.FloatType@4f61fd51
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4f61fd51
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration double -> org.hibernate.type.DoubleType@71e93fad
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration double -> org.hibernate.type.DoubleType@71e93fad
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@71e93fad
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6d419a32
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6d419a32
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5019f68
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5019f68
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration string -> org.hibernate.type.StringType@5b50cd41
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.String -> org.hibernate.type.StringType@5b50cd41
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5b7ffdd6
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7214ee6b
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration url -> org.hibernate.type.UrlType@1621d34e
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1621d34e
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration date -> org.hibernate.type.DateType@55032679
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@55032679
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration time -> org.hibernate.type.TimeType@6fcdd34d
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@6fcdd34d
2016-06-03 01:21:06 DEBUG BasicTypeRegistry:135 - Adding type registration timestamp -> org.hibernate.type.TimestampType@74b9a768
